movie_title,original_language,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,release_year,release_month,genres,studio
the killer inside me,en,7.087,5.9,304,2010-06-18,13000000,3617277,2010,6,cross-genre,IFC
the lady in the van,en,9.269,6.3,393,2016-01-15,6000000,42320503,2016,1,cross-genre,SPC
the last airbender,en,16.595,4.6,2143,2010-07-01,150000000,319713881,2010,7,cross-genre,Par.
the last exorcism,en,9.35,5.6,519,2010-08-27,1800000,70165900,2010,8,cross-genre,LGF
the last exorcism part ii,en,7.561,4.5,297,2013-03-01,4000000,25448707,2013,3,cross-genre,CBS
the last godfather,ko,1.4,4.9,9,2011-04-01,13400000,164247,2011,4,cross-genre,RAtt.
the last song,en,9.237,7.2,2199,2010-03-31,20000000,92678948,2010,3,cross-genre,BV
the last stand,en,15.894,5.9,1692,2013-01-18,30000000,48330757,2013,1,cross-genre,LGF
the last witch hunter,en,16.685,5.8,2193,2015-10-23,80000000,130818912,2015,10,cross-genre,LG/S
the lazarus effect,en,0.6,4.8,3,2015-02-27,5000000,38359310,2015,2,cross-genre,Rela.
the legend of hercules,en,13.754,4.5,805,2014-01-10,70000000,58953319,2014,1,cross-genre,LG/S
the legend of tarzan,en,14.797,5.8,4102,2016-07-01,180000000,348902025,2016,7,cross-genre,WB
the lego batman movie,en,19.352,7.2,2882,2017-02-10,80000000,310660018,2017,2,cross-genre,WB
the lego movie,en,19.375,7.4,4839,2014-02-07,60000000,457729388,2014,2,cross-genre,WB
the lego ninjago movie,en,14.607,6.3,424,2017-09-22,70000000,122737201,2017,9,cross-genre,WB
the light between oceans,en,29.887,7.1,831,2016-09-02,20000000,22281732,2016,9,cross-genre,BV
the lincoln lawyer,en,11.812,7.1,1525,2011-03-18,40000000,87145086,2011,3,cross-genre,LGF
the little prince,en,8.512,7.6,1493,2016-02-12,77500000,102028919,2016,2,action,EOne
the lone ranger,en,12.482,6.0,3789,2013-07-02,275000000,260002115,2013,7,cross-genre,BV
the longest ride,en,11.168,7.5,1908,2015-04-10,34000000,63802928,2015,4,cross-genre,Fox
the losers,en,10.202,6.2,844,2010-04-23,25000000,29863840,2010,4,cross-genre,WB
the lost city of z,en,11.048,6.2,1397,2017-04-14,30000000,17121823,2017,4,cross-genre,BST
the lucky one,en,13.14,6.9,2012,2012-04-20,25000000,96633833,2012,4,cross-genre,WB
